GEO_ID,NAME,S2503_C01_001E
19001,"Adair County, Iowa",3180
19003,"Adams County, Iowa",1529
19005,"Allamakee County, Iowa",5814
19007,"Appanoose County, Iowa",4920
19009,"Audubon County, Iowa",2498
19011,"Benton County, Iowa",10075
19013,"Black Hawk County, Iowa",53465
19015,"Boone County, Iowa",10720
19017,"Bremer County, Iowa",9638
19019,"Buchanan County, Iowa",7787
19021,"Buena Vista County, Iowa",7506
19023,"Butler County, Iowa",5860
19025,"Calhoun County, Iowa",3932
19027,"Carroll County, Iowa",8761
19029,"Cass County, Iowa",5777
19031,"Cedar County, Iowa",7381
19033,"Cerro Gordo County, Iowa",19569
19035,"Cherokee County, Iowa",5126
19037,"Chickasaw County, Iowa",5005
19039,"Clarke County, Iowa",3740
19041,"Clay County, Iowa",7137
19043,"Clayton County, Iowa",7319
19045,"Clinton County, Iowa",19103
19047,"Crawford County, Iowa",6159
19049,"Dallas County, Iowa",37970
19051,"Davis County, Iowa",3150
19053,"Decatur County, Iowa",3053
19055,"Delaware County, Iowa",6944
19057,"Des Moines County, Iowa",17042
19059,"Dickinson County, Iowa",8096
19061,"Dubuque County, Iowa",39534
19063,"Emmet County, Iowa",3856
19065,"Fayette County, Iowa",8107
19067,"Floyd County, Iowa",6712
19069,"Franklin County, Iowa",4108
19071,"Fremont County, Iowa",2742
19073,"Greene County, Iowa",3790
19075,"Grundy County, Iowa",5024
19077,"Guthrie County, Iowa",4463
19079,"Hamilton County, Iowa",5993
19081,"Hancock County, Iowa",4610
19083,"Hardin County, Iowa",7033
19085,"Harrison County, Iowa",5932
19087,"Henry County, Iowa",7565
19089,"Howard County, Iowa",3708
19091,"Humboldt County, Iowa",4189
19093,"Ida County, Iowa",2951
19095,"Iowa County, Iowa",6765
19097,"Jackson County, Iowa",8020
19099,"Jasper County, Iowa",14370
19101,"Jefferson County, Iowa",6688
19103,"Johnson County, Iowa",60573
19105,"Jones County, Iowa",8053
19107,"Keokuk County, Iowa",4136
19109,"Kossuth County, Iowa",6422
19111,"Lee County, Iowa",14068
19113,"Linn County, Iowa",93602
19115,"Louisa County, Iowa",4043
19117,"Lucas County, Iowa",3614
19119,"Lyon County, Iowa",4364
19121,"Madison County, Iowa",6377
19123,"Mahaska County, Iowa",8813
19125,"Marion County, Iowa",13241
19127,"Marshall County, Iowa",15298
19129,"Mills County, Iowa",5301
19131,"Mitchell County, Iowa",4400
19133,"Monona County, Iowa",3786
19135,"Monroe County, Iowa",2998
19137,"Montgomery County, Iowa",4380
19139,"Muscatine County, Iowa",16785
19141,"O'Brien County, Iowa",5670
19143,"Osceola County, Iowa",2659
19145,"Page County, Iowa",6171
19147,"Palo Alto County, Iowa",3685
19149,"Plymouth County, Iowa",10191
19151,"Pocahontas County, Iowa",3121
19153,"Polk County, Iowa",195263
19155,"Pottawattamie County, Iowa",36964
19157,"Poweshiek County, Iowa",7820
19159,"Ringgold County, Iowa",1860
19161,"Sac County, Iowa",4196
19163,"Scott County, Iowa",69955
19165,"Shelby County, Iowa",4918
19167,"Sioux County, Iowa",12284
19169,"Story County, Iowa",37944
19171,"Tama County, Iowa",6655
19173,"Taylor County, Iowa",2446
19175,"Union County, Iowa",4936
19177,"Van Buren County, Iowa",2858
19179,"Wapello County, Iowa",14120
19181,"Warren County, Iowa",19517
19183,"Washington County, Iowa",8833
19185,"Wayne County, Iowa",2536
19187,"Webster County, Iowa",15659
19189,"Winnebago County, Iowa",4473
19191,"Winneshiek County, Iowa",8156
19193,"Woodbury County, Iowa",39826
19195,"Worth County, Iowa",3164
19197,"Wright County, Iowa",5343
